source_id,source_type,category,priority,technical_details,suggested_title
R001,app_store_review,Bug,Critical,"Device: Samsung Galaxy S23, OS: Android 13, Version: 3.0.1, Issue: App crashes on new task creation","[BUG] App crashes when creating new task - Android 13 / Galaxy S23"
R002,app_store_review,Bug,High,"Device: iPhone 14 Pro, OS: iOS 17.2, Version: 3.0.1, Issue: Authentication failed loop","[BUG] Login authentication fails after 3.0.1 update - iOS"
R003,app_store_review,Praise,Low,"","[PRAISE] Positive review - calendar integration and UI"
R004,app_store_review,Feature Request,Medium,"","[FEATURE] Add dark mode option"
R005,app_store_review,Bug,Critical,"Device: Galaxy Tab S8, OS: Android 13, Version: 3.0.1, Issue: Data sync wipes user data","[BUG] CRITICAL: Data loss during sync - Android devices"
R006,app_store_review,Feature Request,Medium,"","[FEATURE] Add recurring tasks with weekly/monthly options"
R007,app_store_review,Bug,High,"Device: Pixel 4a, Issue: 8-10 second load time since 2.x updates","[BUG] Severe performance degradation on older Android devices"
R008,app_store_review,Praise,Low,"","[PRAISE] Positive review - collaboration features"
R009,app_store_review,Spam,Low,"","[SPAM] Promotional spam content - no action needed"
R010,app_store_review,Bug,High,"Device: iPhone 13, OS: iOS 16.5, Version: 2.9.5, Issue: Notifications arrive hours late","[BUG] Push notification delivery delay - iOS"
R011,app_store_review,Feature Request,Medium,"","[FEATURE] Bulk task editing - select multiple and change properties"
R012,app_store_review,Bug,Critical,"Device: iPad Pro, OS: iOS 17, Version: 3.0.1, Issue: Projects deleted after update","[BUG] CRITICAL: All projects deleted after updating to 3.0.1 - iOS"
R013,app_store_review,Praise,Low,"","[PRAISE] Positive review - GTD support and tagging system"
R014,app_store_review,Complaint,Low,"","[COMPLAINT] Pricing concerns - perceived high cost vs competitors"
R015,app_store_review,Feature Request,High,"","[FEATURE] Offline mode for travel / no connectivity scenarios"
R016,app_store_review,Bug,Critical,"Device: iPhone 15, OS: iOS 17.3, Version: 3.0.1, Issue: Home screen widget crashes device","[BUG] CRITICAL: Widget causes full device crash - iPhone 15 iOS 17.3"
R017,app_store_review,Complaint,Medium,"","[COMPLAINT] Poor customer support response times"
R018,app_store_review,Praise,Low,"","[PRAISE] Smooth upgrade from 2.x - new interface positive feedback"
R019,app_store_review,Feature Request,Medium,"","[FEATURE] Native Google Calendar integration / two-way sync"
R020,app_store_review,Bug,High,"Device: iPhone 12, OS: iOS 16, Version: 3.0.1, Issue: Search returns no results","[BUG] Search function broken after 3.0.1 update - returns no results"
E001,support_email,Bug,Critical,"Device: Samsung Galaxy S22, OS: Android 13, Version: 3.0.1, Error: NullPointerException on project creation","[BUG] CRITICAL: App crash on project creation - NullPointerException Android"
E002,support_email,Feature Request,Low,"","[FEATURE] Dark mode with system setting auto-follow"
E003,support_email,Bug,High,"Device: iPhone 14, OS: iOS 17.1, Version: 3.0.1, Error: Session token expired loop","[BUG] Login loop: Session token expired error after 3.0.1 update"
E004,support_email,Bug,Critical,"Device: iPad Pro, OS: iPadOS 17, Issue: All tasks/projects wiped after new device sync","[BUG] CRITICAL: Complete data wipe on new device sync - iPad Pro"
E005,support_email,Feature Request,Medium,"","[FEATURE] Recurring tasks - daily/weekly/monthly/custom intervals"
E006,support_email,Bug,High,"Device: Pixel 7, OS: Android 14, Version: 3.0.0, Issue: Notifications 30-90 mins delayed","[BUG] Push notification delays 30-90 minutes - Android Pixel 7"
E007,support_email,Feature Request,High,"","[FEATURE] Bulk data export to CSV/Excel for enterprise reporting"
E008,support_email,Bug,Medium,"Device: OnePlus 6, OS: Android 11, Issue: 5-10 second lag on all actions","[BUG] Performance degradation on Android 11 devices - severe lag"
E009,support_email,Spam,Low,"","[SPAM] Promotional email - no action needed"
E010,support_email,Bug,High,"Device: iPhone 13 Pro, OS: iOS 16.6, Version: 3.0.1, Issue: Search returns zero results","[BUG] Search broken in 3.0.1 - returns empty results for existing tasks"
E011,support_email,Complaint,High,"","[COMPLAINT] Duplicate billing charge - refund required"
E012,support_email,Feature Request,Medium,"","[FEATURE] Collaboration improvements: comments, @mentions, activity log"
